variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_yang_refusal,rank_zhao_topk,rank_zhao_relative_epsilon,rank_wang,rank_wang_robust,percentile_siren,percentile_yang_harmfulness,percentile_yang_refusal,percentile_zhao_topk,percentile_zhao_relative_epsilon,percentile_wang,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,23,2565,882,551,441,121,249,8,16,0.0019204317810751366,0.001198907468321595,0.0009591259746572759,0.0002615798112701662,0.0005405982766250101,1.5258822324093028e-05,3.269747640877077e-05,0.000704085658668864,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,1
rank_consensus,29,7349,391,569,336,730,936,12,12,0.00085013438662804,0.0012381444400121199,0.0007302436397958805,0.0015890973534662596,0.002038142696146711,2.39781493664319e-05,2.39781493664319e-05,0.0009276741163974107,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,2
rank_consensus,30,12016,1147,218,1243,582,231,125,116,0.0024980871976300867,0.0004730234920468838,0.0027073510466462196,0.0012664822528997211,0.0005013613049344852,0.00027029913831250505,0.0002506806524672426,0.0011381835835624493,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,3
rank_consensus,30,7675,3371,182,148,345,113,17,17,0.0073460330331705,0.00039454954866583396,0.00032043526880595356,0.000749862125641143,0.00024414115718548844,3.487730816935549e-05,3.487730816935549e-05,0.0013035393928296616,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,4
rank_consensus,30,1562,2549,813,114,957,539,67,73,0.005554211325969861,0.001770023389594791,0.00024632098894607316,0.0020839191631189906,0.0011727494871945784,0.0001438688961985914,0.0001569478867620997,0.0015897201625407124,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,5
rank_consensus,30,6159,3638,348,1003,401,123,87,89,0.00792804811324662,0.0007564016209228972,0.0021841914241058874,0.0008719327042338872,0.0002659394747913356,0.00018746553141028575,0.0001918251949314552,0.0017694005805203386,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,6
rank_consensus,30,1171,5049,117,77,683,312,78,79,0.011003790727431656,0.0002528604842278273,0.00016566721380443857,0.0014866452607187777,0.0006779276775418473,0.0001678470455650233,0.000170026877325608,0.0019892521838021683,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,7
rank_consensus,30,7410,2343,1130,1948,906,377,112,103,0.00510516598328941,0.0024610300577001466,0.004244132437858446,0.00197274774332917,0.000819616741979854,0.0002419613254249037,0.00022234283957964124,0.0021524281613087954,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,8
rank_consensus,30,5526,5868,418,134,547,199,193,171,0.01278907293935054,0.0009089898441638274,0.0002899176241577675,0.001190188141279256,0.00043160668859577417,0.00041852769803226586,0.00037057139929940207,0.0023426963335541192,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,9
rank_consensus,30,9138,5519,761,263,602,248,182,154,0.012028311654906474,0.0016566721380443857,0.0005711159212731962,0.0013100788881114155,0.0005384184448644254,0.00039454954866583396,0.00033351425936946187,0.00240466583646217,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,10
