variant,layer,neuron_index,entered_via,also_in,n_methods_at_N,selection_step,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score
quota,29,7349,wang_robust,siren,2,39,391,569,12,730,0.00085013438662804,0.0012381444400121199,2.39781493664319e-05,0.0015890973534662596,0.0009253385823682128
quota,17,14096,zhao_topk,wang_robust,2,40,14947,2521,122,12,0.032579765493699196,0.0054931760366734896,0.0002637596430307509,2.39781493664319e-05,0.009590169830692467
quota,10,4789,siren,,1,41,11,8169,457934,151013,2.179831760584718e-05,0.017804865820455977,0.9982168976198417,0.32918075382941947,0.33630607889683073
quota,31,14201,yang_harmfulness,siren;zhao_topk,3,42,56,11,446676,124,0.00011989074683215949,2.179831760584718e-05,0.973676351659179,0.00026811930655192034,0.24352154000754223
quota,31,3811,wang_robust,yang_harmfulness,2,43,6493,43,13,2192,0.01415146778971599,9.155293394455816e-05,2.6157981127016616e-05,0.0047760113874411175,0.004761297523057171
quota,18,12797,zhao_topk,,1,44,20674,14830,1235,13,0.045063661986567874,0.03232472517771078,0.002689912392561542,2.6157981127016616e-05,0.0200261143844918
quota,11,8111,siren,,1,45,12,31545,458590,227360,2.39781493664319e-05,0.06876061305588435,0.9996468672547852,0.4956043692547809,0.39100895692870424
quota,31,8937,yang_harmfulness,wang_robust,2,46,13038,12,33,1714,0.028418466662742968,2.39781493664319e-05,6.975461633871098e-05,0.0037340518058816222,0.008061562808582433
quota,31,5253,wang_robust,yang_harmfulness,2,47,9689,75,15,1335,0.02111821009654475,0.00016130755028326914,3.0517644648186055e-05,0.002907895568620014,0.006054482715024055
quota,19,12164,zhao_topk,,1,48,21792,78869,350503,14,0.04750071389490159,0.17191897129379555,0.7640353917484648,2.8337812887601334e-05,0.24587085368751238
quota,12,8197,siren,,1,49,13,53183,458680,12189,2.6157981127016616e-05,0.11592781269141647,0.9998430521132379,0.026567789498006544,0.285591203070947
quota,31,9664,yang_harmfulness,,1,50,18974,13,24821,1929,0.041357947993573854,2.6157981127016616e-05,0.054103424297712706,0.004202715634407337,0.02492256147670523
quota,23,2565,wang_robust,zhao_topk,2,51,882,551,16,121,0.0019204317810751366,0.001198907468321595,3.269747640877077e-05,0.0002615798112701662,0.0008534041342689172
quota,31,12732,zhao_topk,,1,52,20505,290627,338508,15,0.04469527041902906,0.6335157852516943,0.7378883097802511,3.0517644648186055e-05,0.35403247077390565
quota,13,9215,siren,,1,53,14,283736,458451,182940,2.8337812887601334e-05,0.618494564589505,0.999343870640064,0.39877624244960774,0.5041607538730161
quota,31,6432,yang_harmfulness,wang_robust;zhao_topk,3,54,14750,14,84,156,0.032150338636864007,2.8337812887601334e-05,0.0001809260361285316,0.0003378739228906313,0.008174369102192693
quota,30,7675,wang_robust,yang_harmfulness;zhao_topk,3,55,3371,182,17,345,0.0073460330331705,0.00039454954866583396,3.487730816935549e-05,0.000749862125641143,0.0021313305039117082
quota,1,6412,zhao_topk,wang_robust,2,56,109428,130886,107,16,0.23853245006550394,0.2853072799841308,0.0002310621666219801,3.269747640877077e-05,0.13102587242316635
quota,14,2015,siren,,1,57,15,138099,458749,360866,3.0517644648186055e-05,0.3010304064732284,0.9999934605047183,0.7866249882834043,0.5219198432264998
quota,31,14276,yang_harmfulness,wang_robust,2,58,4373,15,42,661,0.009530224457276387,3.0517644648186055e-05,8.937310218397344e-05,0.001438688961985914,0.002772201041523615
quota,31,13801,wang_robust,yang_harmfulness,2,59,5354,112,18,2444,0.011668639414409996,0.0002419613254249037,3.705713992994021e-05,0.005325328991108466,0.004318246717718326
quota,9,4255,zhao_topk,,1,60,77249,97316,30254,17,0.1683876438416483,0.21213032778130184,0.06594645025296948,3.487730816935549e-05,0.11162482479602225
quota,15,9635,siren,,1,61,16,17217,458598,89034,3.269747640877077e-05,0.03752798359022651,0.9996643059088699,0.1940769611401392,0.3078254870289111
quota,31,14224,yang_harmfulness,zhao_topk,2,62,18794,16,435522,111,0.04096557827666861,3.269747640877077e-05,0.949362508201617,0.00023978149366431898,0.24765014136208968
quota,31,3166,wang_robust,yang_harmfulness,2,63,2812,201,19,1583,0.006127507079003642,0.0004359663521169436,3.9236971690524926e-05,0.003448493845245024,0.0025128010620140335
quota,13,8310,zhao_topk,,1,64,33633,478,822,18,0.07331210177198524,0.0010397797497989105,0.0017896418754400536,3.705713992994021e-05,0.019044645134288534
quota,16,6950,siren,wang_robust,2,65,17,16240,199,120007,3.487730816935549e-05,0.035398287960135236,0.00043160668859577417,0.2615928902607297,0.07436441555440751
quota,31,5509,yang_harmfulness,,1,66,15544,17,394733,793,0.03388112505476827,3.487730816935549e-05,0.860449350519127,0.0017264267543830967,0.2240229449091119
quota,0,762,wang_robust,,1,67,1374,391537,20,367219,0.0029929090072828178,0.8534826082122982,4.1416803451109644e-05,0.800473459458399,0.41424759837035774
quota,19,13845,zhao_topk,,1,68,17098,2441,29166,19,0.03726858361071692,0.005318789495826712,0.0635747932974533,3.9236971690524926e-05,0.026550350843921867
quota,17,10712,siren,wang_robust,2,69,18,29129,80,141851,3.705713992994021e-05,0.06349413952231167,0.00017220670908619273,0.3092091352389423,0.09322813465256752
quota,31,11010,yang_harmfulness,wang_robust,2,70,22526,18,274,3301,0.049100710407170775,3.705713992994021e-05,0.000595094070639628,0.00719344480992957,0.014231576606917479
quota,31,2756,wang_robust,yang_harmfulness,2,71,4458,222,21,1138,0.009715510156926089,0.0004817428190892227,4.359663521169436e-05,0.0024784687117848244,0.0031798295807529573
quota,24,5326,zhao_topk,,1,72,22201,1622,1302,20,0.04839226508498074,0.003533507283907828,0.002835961120520718,4.1416803451109644e-05,0.013700787573215098
quota,18,8429,siren,,1,73,19,76501,458256,100394,3.9236971690524926e-05,0.16675712968473094,0.99891880344675,0.2188398499403816,0.34613875501088825
quota,31,1324,yang_harmfulness,,1,74,12433,19,19925,1321,0.027099668447589216,3.9236971690524926e-05,0.043430967997889924,0.002877377923971828,0.018361812835285374
quota,31,2207,wang_robust,siren;yang_harmfulness,3,75,271,45,22,2735,0.0005885545753578739,9.59125974657276e-05,4.577646697227908e-05,0.005959660033438619,0.001672475918308625
quota,25,3897,zhao_topk,wang_robust,2,76,14967,39716,77,21,0.03262336212891089,0.08657201837162208,0.00016566721380443857,4.359663521169436e-05,0.029851161087387276
quota,19,11771,siren,wang_robust,2,77,20,205659,403,5832,4.1416803451109644e-05,0.44829984021833197,0.0008762923677550566,0.012710598995969491,0.1154820370963769
quota,31,14196,yang_harmfulness,,1,78,16952,20,241301,3111,0.036950328173671554,4.1416803451109644e-05,0.5259934038290924,0.006779276775418473,0.14244110639540838
quota,11,4258,wang_robust,siren,2,79,55,2409,23,413660,0.00011771091507157477,0.005249034879488001,4.79562987328638e-05,0.9017070262517138,0.22678043208625157
quota,26,450,zhao_topk,wang_robust,2,80,6084,59511,28,22,0.01325991659963684,0.12972178807239657,5.8855457535787386e-05,4.577646697227908e-05,0.03577158414913537
quota,20,13974,siren,wang_robust,2,81,21,79344,140,15784,4.359663521169436e-05,0.1729543913800733,0.0003029966147212758,0.034404284677308605,0.051926317326828716
quota,31,5371,yang_harmfulness,,1,82,3440,21,321391,1085,0.007496441424650845,4.359663521169436e-05,0.7005761295343226,0.0023629376284738345,0.17761977630566475
quota,31,13869,wang_robust,yang_harmfulness,2,83,12416,71,24,1050,0.027062611307659273,0.00015258822324093027,5.0136130493448515e-05,0.0022866435168533692,0.007387994794561756
quota,30,7305,zhao_topk,wang_robust,2,84,11850,489,299,23,0.025828826531168324,0.0010637578991653425,0.000649589864654246,4.79562987328638e-05,0.006897532648430194
quota,21,23,siren,,1,85,22,4433,457227,26141,4.577646697227908e-05,0.00966101436291147,0.9966757565651083,0.05698080222168453,0.26584083740416914
quota,31,8382,yang_harmfulness,,1,86,6722,22,455126,1604,0.01465064926288989,4.577646697227908e-05,0.9920959300361198,0.003494270312217303,0.2525716565195498
quota,29,4946,wang_robust,siren,2,87,449,20584,25,39641,0.0009765646287419538,0.04486747712811525,5.231596225403323e-05,0.08640853098957822,0.03307622217717236
quota,31,4097,zhao_topk,,1,88,29293,1465,368970,24,0.06385163193104756,0.003191273697496027,0.8042903448711829,5.0136130493448515e-05,0.21784584665755496
quota,22,11137,siren,,1,89,23,287380,458445,264978,4.79562987328638e-05,0.6264378715250757,0.9993307916495004,0.5776052804244568,0.5508554749744414
quota,31,850,yang_harmfulness,,1,90,13351,23,321041,2017,0.029100754003805986,4.79562987328638e-05,0.6998131884181179,0.004394540829338792,0.18333910988749888
quota,31,3175,wang_robust,yang_harmfulness,2,91,11312,44,26,1123,0.024656077043973747,9.373276570514288e-05,5.449579401461795e-05,0.0024457712353760535,0.006812519209767391
quota,3,6390,zhao_topk,,1,92,44988,206399,458262,25,0.09806409141342472,0.44991291572116465,0.9989318824373135,5.231596225403323e-05,0.38674030138353926
quota,23,5263,siren,,1,93,24,146139,458726,42418,5.0136130493448515e-05,0.3185562538283295,0.9999433243742248,0.09246192378872199,0.35275290953044247
quota,31,9119,yang_harmfulness,,1,94,21209,24,415821,1967,0.0462298719784807,5.0136130493448515e-05,0.9064176426863375,0.004285549241309556,0.2392458000091553
quota,31,1129,wang_robust,,1,95,11798,913,27,1887,0.02571547527961792,0.001988006565653263,5.667562577520267e-05,0.004111162700462778,0.00796783004287729
quota,7,3720,zhao_topk,,1,96,15722,1925,398467,26,0.034269135108152354,0.004193996307364997,0.8685888423131503,5.449579401461795e-05,0.22677661738067056
quota,24,2598,siren,,1,97,25,139091,458712,8448,5.231596225403323e-05,0.30319279957972844,0.9999128067295766,0.018413038881659113,0.3303927402883045
quota,31,3387,yang_harmfulness,,1,98,7775,25,424922,746,0.016946012106785598,5.231596225403323e-05,0.926256291539419,0.001623974661635615,0.2362196485675236
quota,30,14215,wang_robust,zhao_topk,2,99,6598,2725,29,361,0.014380350124577385,0.005937861715832772,6.103528929637211e-05,0.0007847394338104985,0.005290996640879257
quota,7,6673,zhao_topk,,1,100,42985,28880,422557,27,0.09369788839697352,0.06295136141392607,0.9211009894256361,5.667562577520267e-05,0.2694517287155777
quota,25,3787,siren,,1,101,26,43690,2209,49087,5.449579401461795e-05,0.09523466978818575,0.004813068527371058,0.10699922180006147,0.05177536397740822
quota,31,2549,yang_harmfulness,,1,102,15585,26,100268,2350,0.033970498156952245,5.449579401461795e-05,0.21856519113854792,0.005120424805613503,0.06442765247378207
quota,21,4626,wang_robust,zhao_topk,2,103,1091,155858,30,128,0.0023760166190373425,0.3397420387094524,6.321512105695683e-05,0.0002768386335942592,0.08561452727078524
quota,30,3382,zhao_topk,,1,104,27730,622,32343,28,0.06044455488925365,0.0013536755233231098,0.07050011880083096,5.8855457535787386e-05,0.033089301167735875
quota,26,5848,siren,,1,105,27,280117,458438,77101,5.667562577520267e-05,0.6106057534479489,0.9993155328271764,0.16806502874108176,0.4445107476604956
quota,30,2792,yang_harmfulness,zhao_topk,2,106,12787,27,4402,296,0.027871328890836204,5.667562577520267e-05,0.009593439578333344,0.0006430503693724918,0.00954112361607931
quota,31,9047,wang_robust,yang_harmfulness,2,107,14143,366,31,2186,0.030827180758189084,0.0007956385926134221,6.539495281754155e-05,0.004762932396877609,0.009112786675124416
quota,30,7813,zhao_topk,yang_harmfulness,2,108,18915,47,53547,29,0.041229337919699356,0.00010027226098689703,0.11672127145226932,6.103528929637211e-05,0.03952797923056299
quota,27,2170,siren,,1,109,28,1431,458352,2824,5.8855457535787386e-05,0.003117159417636147,0.9991280672957661,0.006153665060130659,0.25211443680776713
quota,31,12591,yang_harmfulness,,1,110,3695,28,453771,1111,0.00805229852359995,5.8855457535787386e-05,0.9891422580005276,0.002419613254249037,0.24991825630897807
quota,1,5573,wang_robust,,1,111,16414,233504,32,741,0.03577757868647698,0.5089972555918134,6.757478457812626e-05,0.0016130755028326913,0.1366138711414253
quota,31,8717,zhao_topk,,1,112,21724,387821,338902,30,0.04735248533518183,0.8453823533899654,0.7387471634939216,6.321512105695683e-05,0.4078863043350314
quota,29,9571,siren,wang_robust,2,113,30,6628,39,7582,6.321512105695683e-05,0.014445745077394927,8.283360690221929e-05,0.016525304576992746,0.007779274595586712
quota,31,6614,yang_harmfulness,,1,114,75276,29,256741,2018,0.16408683577801464,6.103528929637211e-05,0.5596500062125205,0.004396720661099376,0.18204864948523272
quota,22,5031,wang_robust,siren,2,115,73,5556,34,24681,0.0001569478867620997,0.01210896543004811,7.19344480992957e-05,0.05379824785123084,0.016534023904035088
quota,1,591,zhao_topk,wang_robust,2,116,391676,241115,313,31,0.8537856048270195,0.5255879551216237,0.000680107509302432,6.539495281754155e-05,0.3450297656026908
quota,31,12950,siren,yang_harmfulness,2,117,32,94,446562,1590,6.757478457812626e-05,0.00020272435373437878,0.9734278508384723,0.003463752667569117,0.2442904756610885
quota,31,7416,yang_harmfulness,wang_robust,2,118,13290,30,155,2592,0.028967784266410317,6.321512105695683e-05,0.0003356940911300466,0.005647944091675005,0.008753659392568081
quota,30,5948,wang_robust,yang_harmfulness;zhao_topk,3,119,8135,377,35,212,0.017730751540596095,0.000819616741979854,7.411427985988042e-05,0.0004599445014833755,0.004771106765979802
quota,6,2843,zhao_topk,,1,120,22979,363803,350149,32,0.05008817419471565,0.7930271541642416,0.7632637313052179,6.757478457812626e-05,0.40161165861218834
quota,0,6677,siren,wang_robust,2,121,33,354863,235,83591,6.975461633871098e-05,0.7735394582246142,0.0005100806319768241,0.18221213686727658,0.23908285758505157
quota,31,9416,yang_harmfulness,wang_robust,2,122,6442,31,63,2581,0.014040296369926169,6.539495281754155e-05,0.00013514956915625253,0.005623965942308573,0.004966201708552134
quota,31,6159,wang_robust,yang_harmfulness,2,123,10778,429,36,2814,0.023492046883821508,0.0009329679935302593,7.629411162046513e-05,0.006131866742524812,0.0076582939328742605
quota,6,5866,zhao_topk,,1,124,67894,377275,429397,33,0.14799531772137828,0.822393847642839,0.9360110386680356,6.975461633871098e-05,0.4766174896621479
quota,5,4724,siren,,1,125,34,145659,965,134112,7.19344480992957e-05,0.3175099345832489,0.0021013578172036683,0.2923394172437771,0.15300566102308222
quota,31,13076,yang_harmfulness,,1,126,4318,32,31328,2194,0.009410333710444228,6.757478457812626e-05,0.06828758956383746,0.004780371050962287,0.020636467277455522
quota,1,8182,wang_robust,,1,127,568,243075,37,55229,0.001235964608251535,0.5298604253723698,7.847394338104985e-05,0.12038774847357281,0.16289065309939377
quota,9,12002,zhao_topk,,1,128,18250,29628,2576,34,0.03977974979891052,0.06458187557084344,0.005613066783505649,7.19344480992957e-05,0.027511656650339725
quota,3,381,siren,,1,129,36,398809,457839,31890,7.629411162046513e-05,0.8693343447752703,0.9980098136025861,0.06951265501328607,0.48423327687569073
quota,31,14106,yang_harmfulness,,1,130,187746,33,45151,1408,0.4092525138909779,6.975461633871098e-05,0.09841940399040001,0.0030670232871426984,0.12770217394621483
quota,31,11581,wang_robust,yang_harmfulness,2,131,1427,133,38,5575,0.003108440090593808,0.0002877377923971828,8.065377514163457e-05,0.012150382233499218,0.0039068034729079605
quota,10,853,zhao_topk,,1,132,27784,1407,32193,35,0.06056226580432522,0.0030648434553821138,0.07017314403674324,7.411427985988042e-05,0.03346859189407761
quota,0,9362,siren,wang_robust,2,133,37,416179,311,296668,7.847394338104985e-05,0.9071980224566268,0.0006757478457812626,0.6466841489173866,0.3886590982907939
quota,31,7873,yang_harmfulness,,1,134,14903,34,245755,3081,0.03248385289623347,7.19344480992957e-05,0.5357023744907368,0.0067138818226009315,0.1437430109144176
quota,31,11638,wang_robust,yang_harmfulness,2,135,3497,124,40,2116,0.007620691835004174,0.00026811930655192034,8.5013438662804e-05,0.0046103441736366785,0.003146042188463894
quota,10,11570,zhao_topk,,1,136,49816,32956,456276,36,0.10858831915352773,0.07183635567006938,0.9946027365607922,7.629411162046513e-05,0.2937759263740024
quota,5,9150,siren,,1,137,38,391660,453859,40958,8.065377514163457e-05,0.8537507275188501,0.989334083195459,0.08927936941826829,0.4831112084769298
quota,31,3769,yang_harmfulness,,1,138,2684,35,10502,2618,0.005848488613648798,7.411427985988042e-05,0.022890413317900125,0.005704619717450207,0.008629408982214752
quota,31,13995,wang_robust,,1,139,1105,474,41,4031,0.002406534263685529,0.0010310604227565716,8.719327042338872e-05,0.008784721995156414,0.003077377488005476
quota,12,13860,zhao_topk,,1,140,44565,26358,338981,37,0.09714202257869738,0.057453825713731414,0.7389193702030077,7.847394338104985e-05,0.22339842310970437
quota,26,9917,siren,,1,141,39,34937,439998,49364,8.283360690221929e-05,0.0761546023877877,0.9591194351619942,0.10760303519774343,0.2857399765886069
quota,31,1681,yang_harmfulness,wang_robust,2,142,16051,36,164,2403,0.03498629975738472,7.629411162046513e-05,0.00035531257697530904,0.005235955888924493,0.010163465583726248
quota,31,12446,wang_robust,,1,143,4066,2155,43,3370,0.008861016106776878,0.004695357612299483,9.155293394455816e-05,0.007343853201409915,0.005247944963607708
quota,12,13868,zhao_topk,wang_robust,2,144,16928,1372,272,38,0.03689801221141752,0.0029885493437616486,0.0005907344071184586,8.065377514163457e-05,0.010139487434359816
quota,2,6515,siren,,1,145,40,334218,454003,241810,8.5013438662804e-05,0.7285368315273427,0.9896479789689832,0.5271029381952301,0.5613431905325548
quota,31,4577,yang_harmfulness,wang_robust,2,146,10380,37,264,17771,0.02262447384310879,7.847394338104985e-05,0.0005732957530337809,0.03873561038559044,0.015502963481278515
quota,30,13047,wang_robust,,1,147,4235,2776,44,548,0.009229407674315696,0.006049033135622593,9.373276570514288e-05,0.0011923679730398407,0.004141135387170818
quota,27,8140,zhao_topk,yang_harmfulness,2,148,22734,330,1079,39,0.049554115413372395,0.0007171646492323722,0.002349858637910326,8.283360690221929e-05,0.013175993076854329
quota,0,10953,siren,,1,149,41,434173,1441,78372,8.719327042338872e-05,0.9464219151565882,0.003138957735241994,0.17083559490878494,0.2801209152677596
quota,31,5772,yang_harmfulness,,1,150,20971,38,343358,1459,0.045711072019461535,8.065377514163457e-05,0.7484604938190871,0.003178194706932519,0.1993576035801557
quota,29,7425,wang_robust,siren,2,151,337,11388,46,5235,0.0007324234715564653,0.024821744257778184,9.809242922631231e-05,0.011409239434900414,0.009265374898365344
quota,29,12010,zhao_topk,,1,152,17873,213230,450974,40,0.03895795322517008,0.46480334647771887,0.983045268566172,8.5013438662804e-05,0.37172289542693093
quota,3,1160,siren,,1,153,42,369536,458444,5129,8.937310218397344e-05,0.8055241296476738,0.9993286118177399,0.011178177268278435,0.454030072958969
quota,31,11079,yang_harmfulness,,1,154,11294,39,425144,7710,0.024616840072283222,8.283360690221929e-05,0.9267402141902688,0.01680432304234759,0.24206105272795045
quota,1,7843,wang_robust,,1,155,4377,198843,47,3846,0.009538943784318726,0.4334421069381865,0.00010027226098689703,0.008381453119448242,0.11286569402573511
quota,29,12657,zhao_topk,,1,156,3712,1541,456540,41,0.008089355663529888,0.0033569409113004657,0.9951782121455865,8.719327042338872e-05,0.25167792549771006
quota,5,7127,siren,,1,157,43,140654,445276,204228,9.155293394455816e-05,0.3065998766215223,0.9706245871943603,0.44518050096893524,0.43062412942969064
quota,31,12119,yang_harmfulness,,1,158,13463,40,359022,3556,0.029344895160991476,8.5013438662804e-05,0.782605378516886,0.007749301908878673,0.20494614725635477
quota,30,6894,wang_robust,yang_harmfulness;zhao_topk,3,159,9723,214,49,411,0.021192324376404628,0.00046430416500454493,0.00010463192450806646,0.0008937310218397344,0.005663747871939243
quota,31,801,zhao_topk,,1,160,23619,1212,489,42,0.05148326652148987,0.0026397762620680937,0.0010637578991653425,8.937310218397344e-05,0.01381904344622682
quota,26,11169,siren,,1,161,44,179967,912,326350,9.373276570514288e-05,0.3922956026253894,0.001985826733892678,0.7113859152350621,0.2764402693400123
quota,31,2305,yang_harmfulness,wang_robust,2,162,15302,41,200,1568,0.03335360576870677,8.719327042338872e-05,0.0004337865203563589,0.0034157963688362532,0.009322595482080694
quota,31,4786,wang_robust,,1,163,15880,1680,50,1180,0.03461354852632474,0.0036599375260217416,0.00010681175626865118,0.0025700216457293827,0.01023757986358613
quota,0,11311,zhao_topk,wang_robust,2,164,78428,433293,348,43,0.17095766548737767,0.9445036632072736,0.0007564016209228972,9.155293394455816e-05,0.2790773208123797
quota,0,7886,siren,,1,165,45,263364,457605,82009,9.59125974657276e-05,0.5740870319628731,0.9974997329706093,0.17876364302203157,0.43761158013824497
quota,31,9575,yang_harmfulness,wang_robust,2,166,21548,42,87,1768,0.04696883494531892,8.937310218397344e-05,0.00018746553141028575,0.0038517627209531968,0.012774359074966594
quota,29,11005,wang_robust,siren,2,167,229,3913,51,40354,0.0004970016414133158,0.008527501847407417,0.0001089915880292359,0.08796275103487512,0.02427406152793127
quota,0,13463,zhao_topk,,1,168,76196,418643,339710,44,0.16609228099775258,0.9125691279147076,0.740508467556474,9.373276570514288e-05,0.45481590230865987
quota,3,12499,siren,,1,169,46,432728,436295,18406,9.809242922631231e-05,0.9432720582625433,0.951047518152549,0.040119803553561734,0.4836343680994701
quota,30,8562,yang_harmfulness,zhao_topk,2,170,72071,46,341337,324,0.15710047498534063,9.809242922631231e-05,0.7440550538309453,0.0007040856586688639,0.22548942672604527
