layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_wang_robust,percentile_wang_robust,rank_zhao_topk,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
23,2565,882,0.0019204317810751366,551,0.001198907468321595,16,3.269747640877077e-05,121,0.0002615798112701662,0.0008534041342689172,2,wang_robust;zhao_topk
29,7349,391,0.00085013438662804,569,0.0012381444400121199,12,2.39781493664319e-05,730,0.0015890973534662596,0.0009253385823682128,2,siren;wang_robust
30,12016,1147,0.0024980871976300867,218,0.0004730234920468838,116,0.0002506806524672426,582,0.0012664822528997211,0.0011220683987609836,2,yang_harmfulness;wang_robust
31,9825,1173,0.0025547628234052896,6,1.089915880292359e-05,45,9.59125974657276e-05,1265,0.0027553073453790836,0.001354220481263256,2,yang_harmfulness;wang_robust
31,2207,271,0.0005885545753578739,45,9.59125974657276e-05,22,4.577646697227908e-05,2735,0.005959660033438619,0.001672475918308625,3,siren;yang_harmfulness;wang_robust
31,5540,887,0.0019313309398780601,359,0.0007803797702893291,56,0.00011989074683215949,2405,0.005240315552445662,0.0020179792523613025,2,yang_harmfulness;wang_robust
30,7675,3371,0.0073460330331705,182,0.00039454954866583396,17,3.487730816935549e-05,345,0.000749862125641143,0.0021313305039117082,3,yang_harmfulness;wang_robust;zhao_topk
31,3409,2013,0.0043858215022964525,4,6.539495281754154e-06,48,0.00010245209274748175,1934,0.00421361479321026,0.0021771069708839868,2,yang_harmfulness;wang_robust
30,1562,2549,0.005554211325969861,813,0.001770023389594791,73,0.0001569478867620997,957,0.0020839191631189906,0.0023912754413614357,1,wang_robust
30,6159,3638,0.00792804811324662,348,0.0007564016209228972,89,0.0001918251949314552,401,0.0008719327042338872,0.002437051908333715,3,yang_harmfulness;wang_robust;zhao_topk
30,7410,2343,0.00510516598328941,1130,0.0024610300577001466,103,0.00022234283957964124,906,0.00197274774332917,0.002440321655974592,1,wang_robust
31,11695,2964,0.00645884150661252,102,0.00022016300781905652,149,0.0003226151005665383,1315,0.0028642989334083198,0.002466479637101609,2,yang_harmfulness;wang_robust
31,3166,2812,0.006127507079003642,201,0.0004359663521169436,19,3.9236971690524926e-05,1583,0.003448493845245024,0.0025128010620140335,2,yang_harmfulness;wang_robust
30,12012,3293,0.007176006155844892,883,0.0019226116128357213,57,0.00012207057859274422,443,0.0009634856381784453,0.002546043496362951,2,wang_robust;zhao_topk
