,SIREN,Zhao (top-k),Zhao (rel. epsilon),Wang (standard),Wang (robust),Yang et al. (RMS),Yang et al. (delta-refusal),Yang et al. (delta-harmful.)
SIREN,1.0,0.0611593628934662,0.0441495159488283,0.17718489547008048,0.1904912502693926,0.038042505982034465,0.029829205842007916,0.03129605439894867
Zhao (top-k),0.0611593628934662,1.0,0.4209895762302617,0.05382803977695176,0.05965887303630342,0.0612229525013878,0.051347734102654544,0.05592783383372114
Zhao (rel. epsilon),0.0441495159488283,0.4209895762302617,1.0,0.04356040203148094,0.043810379351888876,0.06004689540051021,0.03930958635381926,0.04288228597461784
Wang (standard),0.17718489547008048,0.05382803977695176,0.04356040203148094,1.0,0.7799680033421699,0.02182848868777125,0.0242069363973718,0.02491036326924333
Wang (robust),0.1904912502693926,0.05965887303630342,0.043810379351888876,0.7799680033421699,1.0,0.026003330344917596,0.02754602378245355,0.028104357619951677
Yang et al. (RMS),0.038042505982034465,0.0612229525013878,0.06004689540051021,0.02182848868777125,0.026003330344917596,1.0,0.07284378245312076,0.07616138713289736
Yang et al. (delta-refusal),0.029829205842007916,0.051347734102654544,0.03930958635381926,0.0242069363973718,0.02754602378245355,0.07284378245312076,1.0,0.15160465567886494
Yang et al. (delta-harmful.),0.03129605439894867,0.05592783383372114,0.04288228597461784,0.02491036326924333,0.028104357619951677,0.07616138713289736,0.15160465567886494,1.0
