,SIREN,Zhao (top-k),Zhao (rel. epsilon),Wang (standard),Wang (robust),Yang et al. (RMS),Yang et al. (delta-refusal),Yang et al. (delta-harmful.)
SIREN,1.0,0.040086359483149495,0.02880168606653465,0.17136796547877453,0.18851564868156792,0.023685061255587028,0.024194254303679625,0.022549774432939807
Zhao (top-k),0.040086359483149495,1.0,0.41783838658590533,0.05180911712757015,0.054657049515298095,0.04085739357086812,0.041669522922754,0.046887914876249194
Zhao (rel. epsilon),0.02880168606653465,0.41783838658590533,1.0,0.03805893779931138,0.03888107729234295,0.04781876780940844,0.03562865494702364,0.04191900494419201
Wang (standard),0.17136796547877453,0.05180911712757015,0.03805893779931138,1.0,0.7466748992037122,0.01707429194500383,0.01749792733156233,0.018691452755165587
Wang (robust),0.18851564868156792,0.054657049515298095,0.03888107729234295,0.7466748992037122,1.0,0.02183663646265671,0.020162722307009624,0.020985705319715112
Yang et al. (RMS),0.023685061255587028,0.04085739357086812,0.04781876780940844,0.01707429194500383,0.02183663646265671,1.0,0.07946679848439657,0.07860460610514103
Yang et al. (delta-refusal),0.024194254303679625,0.041669522922754,0.03562865494702364,0.01749792733156233,0.020162722307009624,0.07946679848439657,1.0,0.17101216611617487
Yang et al. (delta-harmful.),0.022549774432939807,0.046887914876249194,0.04191900494419201,0.018691452755165587,0.020985705319715112,0.07860460610514103,0.17101216611617487,1.0
