,SIREN,Zhao (top-k),Zhao (rel. epsilon),Wang (standard),Wang (robust),Yang et al. (RMS),Yang et al. (delta-refusal),Yang et al. (delta-harmful.)
SIREN,1.0,0.024234225086877895,0.019176707889221996,0.1607573191000404,0.1762036127834659,0.015451957244970824,0.01828112638646251,0.012423630398867952
Zhao (top-k),0.024234225086877895,1.0,0.4248961558163559,0.046947729852954534,0.04823248317014962,0.03240729354511541,0.03706216125623731,0.04233353240662925
Zhao (rel. epsilon),0.019176707889221996,0.4248961558163559,1.0,0.03511527630512091,0.0360754400730795,0.04286297041027718,0.03567804959633335,0.04889985348660772
Wang (standard),0.1607573191000404,0.046947729852954534,0.03511527630512091,1.0,0.708830868808974,0.015310136134038707,0.017216167094858983,0.014978891785656749
Wang (robust),0.1762036127834659,0.04823248317014962,0.0360754400730795,0.708830868808974,1.0,0.018729850851473176,0.020060334753128694,0.017624782157979454
Yang et al. (RMS),0.015451957244970824,0.03240729354511541,0.04286297041027718,0.015310136134038707,0.018729850851473176,1.0,0.07750077112778514,0.07569594665071833
Yang et al. (delta-refusal),0.01828112638646251,0.03706216125623731,0.03567804959633335,0.017216167094858983,0.020060334753128694,0.07750077112778514,1.0,0.16259363029970264
Yang et al. (delta-harmful.),0.012423630398867952,0.04233353240662925,0.04889985348660772,0.014978891785656749,0.017624782157979454,0.07569594665071833,0.16259363029970264,1.0
