variant,layer,neuron_index
delta_refusal,3,10351
delta_refusal,3,14176
delta_refusal,5,13440
delta_refusal,7,10594
delta_refusal,8,203
delta_refusal,8,7503
delta_refusal,8,11119
delta_refusal,9,802
delta_refusal,9,3200
delta_refusal,9,11009
delta_refusal,9,12312
delta_refusal,10,853
delta_refusal,10,1084
delta_refusal,10,4978
delta_refusal,10,9322
delta_refusal,11,3130
delta_refusal,11,3969
delta_refusal,11,4146
delta_refusal,11,4901
delta_refusal,11,7229
delta_refusal,11,8011
delta_refusal,11,9743
delta_refusal,11,10685
delta_refusal,11,10961
delta_refusal,11,12141
delta_refusal,11,13926
delta_refusal,12,1559
delta_refusal,12,1728
delta_refusal,12,1843
delta_refusal,12,2722
delta_refusal,12,3601
delta_refusal,12,3740
delta_refusal,12,5447
delta_refusal,12,5857
delta_refusal,12,7342
delta_refusal,12,8459
delta_refusal,12,8512
delta_refusal,12,10568
delta_refusal,12,10907
delta_refusal,12,12559
delta_refusal,12,13336
delta_refusal,13,166
delta_refusal,13,1342
delta_refusal,13,1781
delta_refusal,13,2036
delta_refusal,13,2127
delta_refusal,13,6746
delta_refusal,13,8310
delta_refusal,13,8982
delta_refusal,13,9009
delta_refusal,13,9713
delta_refusal,13,10794
delta_refusal,13,10988
delta_refusal,13,11412
delta_refusal,13,12258
delta_refusal,13,12293
delta_refusal,13,13879
delta_refusal,13,13894
delta_refusal,14,366
delta_refusal,14,1406
delta_refusal,14,1441
delta_refusal,14,1464
delta_refusal,14,1522
delta_refusal,14,1559
delta_refusal,14,1693
delta_refusal,14,1771
delta_refusal,14,1773
delta_refusal,14,2862
delta_refusal,14,3917
delta_refusal,14,4484
delta_refusal,14,4489
delta_refusal,14,4589
delta_refusal,14,5063
delta_refusal,14,5892
delta_refusal,14,9748
delta_refusal,14,9876
delta_refusal,14,10041
delta_refusal,14,10180
delta_refusal,14,11273
delta_refusal,14,11723
delta_refusal,14,12639
delta_refusal,15,2744
delta_refusal,15,3432
delta_refusal,15,3544
delta_refusal,15,3816
delta_refusal,15,4779
delta_refusal,15,5393
delta_refusal,15,7361
delta_refusal,15,9388
delta_refusal,15,9514
delta_refusal,15,11101
delta_refusal,15,12663
delta_refusal,15,13319
delta_refusal,16,458
delta_refusal,16,2743
delta_refusal,16,3821
delta_refusal,16,6302
delta_refusal,16,6521
delta_refusal,16,6673
delta_refusal,16,7001
delta_refusal,16,7372
delta_refusal,16,7977
delta_refusal,16,9019
delta_refusal,16,11277
delta_refusal,16,12963
delta_refusal,16,13157
delta_refusal,16,13258
delta_refusal,16,13510
delta_refusal,17,2299
delta_refusal,17,2941
delta_refusal,17,4374
delta_refusal,17,6182
delta_refusal,17,7024
delta_refusal,17,7275
delta_refusal,17,7640
delta_refusal,17,12136
delta_refusal,18,290
delta_refusal,18,8160
delta_refusal,18,8592
delta_refusal,18,9419
delta_refusal,18,11215
delta_refusal,18,12866
delta_refusal,18,13110
delta_refusal,18,13818
delta_refusal,19,1297
delta_refusal,19,4082
