variant,layer,neuron_index
delta_harmfulness,11,3306
delta_harmfulness,11,3471
delta_harmfulness,11,3485
delta_harmfulness,11,3639
delta_harmfulness,11,3787
delta_harmfulness,11,3841
delta_harmfulness,11,3945
delta_harmfulness,11,3958
delta_harmfulness,11,3969
delta_harmfulness,11,4146
delta_harmfulness,11,4173
delta_harmfulness,11,4219
delta_harmfulness,11,4258
delta_harmfulness,11,4266
delta_harmfulness,11,4291
delta_harmfulness,11,4467
delta_harmfulness,11,4521
delta_harmfulness,11,4800
delta_harmfulness,11,5133
delta_harmfulness,11,5141
delta_harmfulness,11,5416
delta_harmfulness,11,5459
delta_harmfulness,11,5523
delta_harmfulness,11,5533
delta_harmfulness,11,5684
delta_harmfulness,11,5966
delta_harmfulness,11,6105
delta_harmfulness,11,6158
delta_harmfulness,11,6266
delta_harmfulness,11,6396
delta_harmfulness,11,6414
delta_harmfulness,11,6429
delta_harmfulness,11,6737
delta_harmfulness,11,6772
delta_harmfulness,11,6834
delta_harmfulness,11,7075
delta_harmfulness,11,7135
delta_harmfulness,11,7150
delta_harmfulness,11,7184
delta_harmfulness,11,7354
delta_harmfulness,11,7366
delta_harmfulness,11,7377
delta_harmfulness,11,7457
delta_harmfulness,11,7464
delta_harmfulness,11,7480
delta_harmfulness,11,7508
delta_harmfulness,11,7624
delta_harmfulness,11,7761
delta_harmfulness,11,7903
delta_harmfulness,11,7907
delta_harmfulness,11,8000
delta_harmfulness,11,8015
delta_harmfulness,11,8405
delta_harmfulness,11,8446
delta_harmfulness,11,8569
delta_harmfulness,11,8690
delta_harmfulness,11,9000
delta_harmfulness,11,9034
delta_harmfulness,11,9207
delta_harmfulness,11,9552
delta_harmfulness,11,9633
delta_harmfulness,11,9669
delta_harmfulness,11,9677
delta_harmfulness,11,9781
delta_harmfulness,11,9874
delta_harmfulness,11,9982
delta_harmfulness,11,10056
delta_harmfulness,11,10096
delta_harmfulness,11,10121
delta_harmfulness,11,10294
delta_harmfulness,11,10360
delta_harmfulness,11,10425
delta_harmfulness,11,10462
delta_harmfulness,11,10502
delta_harmfulness,11,10685
delta_harmfulness,11,10816
delta_harmfulness,11,10939
delta_harmfulness,11,10961
delta_harmfulness,11,11321
delta_harmfulness,11,11362
delta_harmfulness,11,11405
delta_harmfulness,11,11420
delta_harmfulness,11,11666
delta_harmfulness,11,11730
delta_harmfulness,11,11745
delta_harmfulness,11,11778
delta_harmfulness,11,11824
delta_harmfulness,11,12032
delta_harmfulness,11,12126
delta_harmfulness,11,12239
delta_harmfulness,11,12467
delta_harmfulness,11,12581
delta_harmfulness,11,12706
delta_harmfulness,11,12976
delta_harmfulness,11,12991
delta_harmfulness,11,13153
delta_harmfulness,11,13253
delta_harmfulness,11,13279
delta_harmfulness,11,13284
delta_harmfulness,11,13636
delta_harmfulness,11,13919
delta_harmfulness,11,13926
delta_harmfulness,11,13978
delta_harmfulness,11,14015
delta_harmfulness,11,14045
delta_harmfulness,11,14106
delta_harmfulness,11,14231
delta_harmfulness,11,14327
delta_harmfulness,12,5
delta_harmfulness,12,180
delta_harmfulness,12,225
delta_harmfulness,12,238
delta_harmfulness,12,245
delta_harmfulness,12,253
delta_harmfulness,12,254
delta_harmfulness,12,286
delta_harmfulness,12,364
delta_harmfulness,12,375
delta_harmfulness,12,376
delta_harmfulness,12,443
delta_harmfulness,12,446
delta_harmfulness,12,513
delta_harmfulness,12,678
delta_harmfulness,12,734
delta_harmfulness,12,814
delta_harmfulness,12,911
delta_harmfulness,12,1053
delta_harmfulness,12,1084
delta_harmfulness,12,1086
delta_harmfulness,12,1195
delta_harmfulness,12,1221
delta_harmfulness,12,1260
delta_harmfulness,12,1285
delta_harmfulness,12,1375
delta_harmfulness,12,1481
delta_harmfulness,12,1538
delta_harmfulness,12,1559
delta_harmfulness,12,1587
delta_harmfulness,12,1743
delta_harmfulness,12,1750
delta_harmfulness,12,1804
delta_harmfulness,12,1843
delta_harmfulness,12,1969
delta_harmfulness,12,1987
delta_harmfulness,12,2121
delta_harmfulness,12,2193
delta_harmfulness,12,2235
delta_harmfulness,12,2243
delta_harmfulness,12,2247
delta_harmfulness,12,2489
delta_harmfulness,12,2490
delta_harmfulness,12,2655
delta_harmfulness,12,2658
delta_harmfulness,12,2691
delta_harmfulness,12,2722
delta_harmfulness,12,2749
delta_harmfulness,12,2771
delta_harmfulness,12,3060
delta_harmfulness,12,3063
delta_harmfulness,12,3282
delta_harmfulness,12,3315
delta_harmfulness,12,3424
delta_harmfulness,12,3582
delta_harmfulness,12,3639
delta_harmfulness,12,3740
delta_harmfulness,12,3789
delta_harmfulness,12,3908
delta_harmfulness,12,4086
delta_harmfulness,12,4094
delta_harmfulness,12,4135
delta_harmfulness,12,4317
delta_harmfulness,12,4319
delta_harmfulness,12,4464
delta_harmfulness,12,4615
delta_harmfulness,12,4650
delta_harmfulness,12,4723
delta_harmfulness,12,4724
delta_harmfulness,12,4742
delta_harmfulness,12,4790
delta_harmfulness,12,4798
delta_harmfulness,12,4963
delta_harmfulness,12,5026
delta_harmfulness,12,5070
delta_harmfulness,12,5085
delta_harmfulness,12,5111
delta_harmfulness,12,5181
delta_harmfulness,12,5224
delta_harmfulness,12,5287
delta_harmfulness,12,5430
delta_harmfulness,12,5493
delta_harmfulness,12,5763
delta_harmfulness,12,5802
delta_harmfulness,12,5811
delta_harmfulness,12,5840
delta_harmfulness,12,5857
delta_harmfulness,12,5864
delta_harmfulness,12,5896
delta_harmfulness,12,5952
