variant,layer,neuron_index
delta_refusal,2,138
delta_refusal,3,3214
delta_refusal,3,10351
delta_refusal,3,14176
delta_refusal,4,10711
delta_refusal,4,11663
delta_refusal,5,9192
delta_refusal,5,13440
delta_refusal,6,8450
delta_refusal,7,1994
delta_refusal,7,6819
delta_refusal,7,10594
delta_refusal,7,12230
delta_refusal,8,64
delta_refusal,8,203
delta_refusal,8,319
delta_refusal,8,3085
delta_refusal,8,7503
delta_refusal,8,11119
delta_refusal,8,11495
delta_refusal,9,802
delta_refusal,9,1355
delta_refusal,9,2612
delta_refusal,9,2852
delta_refusal,9,3200
delta_refusal,9,3441
delta_refusal,9,4013
delta_refusal,9,4597
delta_refusal,9,9799
delta_refusal,9,10838
delta_refusal,9,11009
delta_refusal,9,11076
delta_refusal,9,11856
delta_refusal,9,12312
delta_refusal,10,853
delta_refusal,10,1084
delta_refusal,10,1669
delta_refusal,10,3727
delta_refusal,10,4071
delta_refusal,10,4542
delta_refusal,10,4582
delta_refusal,10,4691
delta_refusal,10,4978
delta_refusal,10,6318
delta_refusal,10,6526
delta_refusal,10,7483
delta_refusal,10,8322
delta_refusal,10,8868
delta_refusal,10,9322
delta_refusal,10,10474
delta_refusal,10,11188
delta_refusal,10,11874
delta_refusal,10,13557
delta_refusal,10,14292
delta_refusal,11,245
delta_refusal,11,432
delta_refusal,11,499
delta_refusal,11,1791
delta_refusal,11,1820
delta_refusal,11,2092
delta_refusal,11,2532
delta_refusal,11,2871
delta_refusal,11,3130
delta_refusal,11,3787
delta_refusal,11,3817
delta_refusal,11,3841
delta_refusal,11,3969
delta_refusal,11,4146
delta_refusal,11,4173
delta_refusal,11,4181
delta_refusal,11,4258
delta_refusal,11,4630
delta_refusal,11,4901
delta_refusal,11,5659
delta_refusal,11,6737
delta_refusal,11,6786
delta_refusal,11,6821
delta_refusal,11,6863
delta_refusal,11,7119
delta_refusal,11,7229
delta_refusal,11,7674
delta_refusal,11,7922
delta_refusal,11,8011
delta_refusal,11,8208
delta_refusal,11,9743
delta_refusal,11,9781
delta_refusal,11,9982
delta_refusal,11,10274
delta_refusal,11,10393
delta_refusal,11,10431
delta_refusal,11,10685
delta_refusal,11,10961
delta_refusal,11,11730
delta_refusal,11,12141
delta_refusal,11,12356
delta_refusal,11,12649
delta_refusal,11,13237
delta_refusal,11,13331
delta_refusal,11,13638
delta_refusal,11,13675
delta_refusal,11,13926
delta_refusal,11,13978
delta_refusal,12,86
delta_refusal,12,180
delta_refusal,12,286
delta_refusal,12,364
delta_refusal,12,531
delta_refusal,12,1559
delta_refusal,12,1728
delta_refusal,12,1843
delta_refusal,12,1862
delta_refusal,12,1889
delta_refusal,12,2187
delta_refusal,12,2243
delta_refusal,12,2713
delta_refusal,12,2722
delta_refusal,12,2948
delta_refusal,12,3060
delta_refusal,12,3063
delta_refusal,12,3424
delta_refusal,12,3560
delta_refusal,12,3601
delta_refusal,12,3740
delta_refusal,12,4200
delta_refusal,12,4319
delta_refusal,12,4464
delta_refusal,12,4821
delta_refusal,12,4934
delta_refusal,12,5297
delta_refusal,12,5447
delta_refusal,12,5570
delta_refusal,12,5857
delta_refusal,12,6057
delta_refusal,12,6170
delta_refusal,12,6262
delta_refusal,12,6388
delta_refusal,12,6882
delta_refusal,12,7114
delta_refusal,12,7342
delta_refusal,12,7503
delta_refusal,12,8047
delta_refusal,12,8181
delta_refusal,12,8459
delta_refusal,12,8512
delta_refusal,12,8845
delta_refusal,12,9432
delta_refusal,12,9533
delta_refusal,12,9966
delta_refusal,12,10435
delta_refusal,12,10568
delta_refusal,12,10854
delta_refusal,12,10867
delta_refusal,12,10907
delta_refusal,12,11159
delta_refusal,12,11229
delta_refusal,12,11237
delta_refusal,12,11481
delta_refusal,12,11551
delta_refusal,12,12131
delta_refusal,12,12559
delta_refusal,12,12565
delta_refusal,12,12909
delta_refusal,12,13113
delta_refusal,12,13189
delta_refusal,12,13336
delta_refusal,12,13369
delta_refusal,12,13868
delta_refusal,12,14300
delta_refusal,13,166
delta_refusal,13,535
delta_refusal,13,552
delta_refusal,13,605
delta_refusal,13,841
delta_refusal,13,1342
delta_refusal,13,1679
delta_refusal,13,1781
delta_refusal,13,1830
