,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.6693660287158435,0.6458111287085674,0.6670910978730156,0.6288983534568794,0.6245668450666862,0.5874229559161827,0.6034999116372748,0.5656908492627998,0.5683122566987553,0.4853357488976719,0.4825303425111317,0.5506277534628367,0.5237986028768691,0.5145605142289036,0.5385167031261481,0.570825905895013,0.6165505570918547,0.5499324954681163,0.6191972513569053,0.5806791892506764,0.5410734312548772,0.5934040389892754,0.5488317192320336,0.4672785985543533,0.5612983810889728,0.562697146879873,0.631587821268135,0.598239016307785,0.590498431777787,0.607956198481017,0.6161229831744102,0.6370993768880385
1,0.5265042687787944,0.5280490379105397,0.5467827404894335,0.5129508952674244,0.5039308582586974,0.4678000730891139,0.47314904979572603,0.45890718896613275,0.4453401781083393,0.40510104975773514,0.37224632902999955,0.43238239513627014,0.42394791952982064,0.404608507307512,0.4204160806525427,0.45211600311651895,0.4936699253586126,0.43453087541646507,0.48465407036923425,0.443320957659042,0.41994873961374934,0.4551228311346874,0.4196622652054596,0.3701494370834362,0.4353162597998776,0.44700211482084956,0.493344244881998,0.4697387718552026,0.4635017408877651,0.48246081376780353,0.482574662059084,0.505066037859462
2,0.45132091061781543,0.45870743874826414,0.5190456550388481,0.4895821139972618,0.48539044087862426,0.4484051604241297,0.4653570940193989,0.4537338172417597,0.4558382347904651,0.4040083091916709,0.3941891636684588,0.43370195597017525,0.4248172441352576,0.39114718058909104,0.41706939415431854,0.4375944878656294,0.46352322293833403,0.43113644046872146,0.45072554085598077,0.43782929293401146,0.40196495668153776,0.4393112003101861,0.41519770247679255,0.35077824723979567,0.40903305700795056,0.41573521520160567,0.45499071687803566,0.43638141859574414,0.4474008342488613,0.44912597515191177,0.4435478908942486,0.4658048498706064
3,0.41837690848958575,0.42449952454413026,0.4734541685295082,0.5063456306714256,0.4969316012297091,0.47253568546025787,0.4799925757381072,0.4706005409804738,0.47081837870524523,0.431233595294901,0.43370751072131986,0.45983481590473446,0.4841050391757291,0.41745467204117154,0.43737227781700105,0.4639511174869701,0.49083870584980144,0.459365947776411,0.46591985685262627,0.4676542901369278,0.4180422894370431,0.46556076507229294,0.43374214047203247,0.3576270467106487,0.40880661547045194,0.4198981892743323,0.4532190357077145,0.4419270439640025,0.4778286876646688,0.45743844210731166,0.44838470848580153,0.4900432538467369
4,0.38066043877241407,0.3896812907359447,0.406330497506396,0.4110753175252149,0.45052983618404197,0.3986582566872017,0.40736851387851536,0.37640248537540166,0.3834770835101824,0.34134022995034485,0.33087275760621804,0.3812730089642672,0.384209349255192,0.3205757821586004,0.36418131879406057,0.38150156938608004,0.39998014839027823,0.3614260206213805,0.39595591325312535,0.3662134335725596,0.3487376568488655,0.3699947542043468,0.3517574078097082,0.30225092614365123,0.3321717536094737,0.32911400314326866,0.39350531691010315,0.3655465145510462,0.3776644286354956,0.38689172674130184,0.37924257337560424,0.3909961573931369
5,0.36691049878353055,0.3775503833367115,0.43304494322235165,0.4566364191945907,0.4805372616921375,0.46832300254775977,0.4714965930594632,0.4787488372382202,0.4793725764034921,0.4317657666834447,0.4568684582907132,0.4610895668151232,0.4977977192227902,0.4069647507599706,0.4284350221220482,0.4478471483323012,0.48015702047655084,0.45698900689244465,0.44790739475029223,0.46118461098705704,0.4190144996505381,0.45194183535387766,0.4295647237158503,0.35978639631971504,0.3939304453626841,0.4012312385197139,0.43336690057015026,0.4337253437988413,0.4727047229850269,0.4528975781947006,0.43820844468632014,0.4819573112251001
6,0.31960546737204143,0.342365141425656,0.3768870902548887,0.3916814044174642,0.41259973576211306,0.3902103295410344,0.42083222489433714,0.4068671351834746,0.41290271894073494,0.36024882691230725,0.379468750204082,0.4004098727431844,0.44064670996679733,0.3314990193981699,0.38283906740140883,0.377931452226912,0.3976334791584076,0.37818784377946,0.3822138396886387,0.38199984113486407,0.35094156956523864,0.37718909807643325,0.3709851804715381,0.2885127166047464,0.33380942520558776,0.3189935869644111,0.38554232787496645,0.34270886360849456,0.3680921273317101,0.3767582090240424,0.3628497198941035,0.39732779069164986
7,0.24256426855595076,0.26036351642271305,0.29062027118068867,0.3128521668170327,0.3321947291078412,0.30606423149134565,0.3280269140691467,0.36562603645765485,0.3470913346168286,0.3110093270700998,0.3186905379737622,0.35076685537957286,0.3820979757720077,0.2824051046907654,0.31164515293567874,0.31926675407331306,0.3338661402952942,0.3278476810530177,0.31239730947202615,0.32114530375714206,0.293221889444845,0.30895017777325534,0.31112551491973983,0.2517889850720479,0.26339685900862914,0.2703651292428223,0.3041572711318824,0.28991159017234736,0.3282294285731542,0.32064945334180844,0.2889359876452906,0.3210787469728984
8,0.2801583794718769,0.28792448859646036,0.32469401664084313,0.34399695601339864,0.36421340540127606,0.3401558574052375,0.35749215798037237,0.3876094455654568,0.37134460117125817,0.3477097780387815,0.358476986117009,0.38388560139681643,0.42739847561042105,0.32536830330975625,0.34679701084046316,0.35643056170564896,0.38552517729045505,0.3506840310668948,0.3555521460821727,0.35937941897378184,0.3164555764955678,0.3423956309533634,0.3287361026400017,0.28738624439753946,0.2867823018041517,0.300581333611561,0.32642612507998925,0.33353926768616937,0.3673262578692367,0.36195503752323427,0.34593859285909473,0.36393286417687976
9,0.1790461000127354,0.18599879815809855,0.22463686217888587,0.24296970190608994,0.2566384540566269,0.2554759994611494,0.25573730773113096,0.28826437680688083,0.29333635588868007,0.27705871382543945,0.28717946956736945,0.2969392864593534,0.3680220036499801,0.2607634938352388,0.2545394658605408,0.2750791700520355,0.2890703207004406,0.2806188297361695,0.26633339343186196,0.293049625191892,0.26390331945081513,0.27749011037127724,0.26513627111071686,0.22819963976366395,0.23063223675163458,0.23820260203205887,0.2643558250878773,0.26453034373813356,0.3018151026516694,0.2870398648485861,0.2650958153105309,0.299978569650633
