variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,9658,1319,249,0.0028730182604506586,0.0005405982766250101,0.0017068082685378343,1,yang_harmfulness,29
rank_consensus,30,12185,1639,93,0.0035705644238377683,0.00020054452197379406,0.0018855544729057812,1,yang_harmfulness,30
rank_consensus,31,287,1466,285,0.003193453529256612,0.0006190722200060599,0.0019062628746313358,1,yang_harmfulness,31
rank_consensus,30,1130,1818,68,0.003960754308982433,0.00014604872795917612,0.0020534015184708043,1,yang_harmfulness,32
rank_consensus,30,6897,78,1809,0.0001678470455650233,0.0039411358231371705,0.002054491434351097,1,siren,33
rank_consensus,30,7146,1861,63,0.004054487074687575,0.00013514956915625253,0.002094818321921914,1,yang_harmfulness,34
rank_consensus,29,6982,176,1771,0.00038147055810232566,0.003858302216234951,0.0021198863871686384,1,siren,35
rank_consensus,31,3607,1607,361,0.0035008098074990573,0.0007847394338104985,0.002142774620654778,1,yang_harmfulness,36
rank_consensus,31,11488,1950,56,0.004248492101379615,0.00011989074683215949,0.0021841914241058874,1,yang_harmfulness,37
rank_consensus,31,3409,2013,4,0.0043858215022964525,6.539495281754154e-06,0.002196180498789103,1,yang_harmfulness,38
rank_consensus,31,2954,1914,156,0.004170018157998566,0.0003378739228906313,0.0022539460404445984,1,yang_harmfulness,39
rank_consensus,26,2776,95,2035,0.0002049041854949635,0.0044337778010293165,0.00231934099326214,1,siren,40
rank_consensus,30,3695,368,1773,0.0007999982561345915,0.0038626618797561203,0.002331330067945356,1,siren,41
rank_consensus,30,13587,226,2007,0.0004904621461315616,0.004372742511732945,0.002431602328932253,1,siren,42
rank_consensus,31,5542,101,2221,0.0002179831760584718,0.004839226508498074,0.002528604842278273,1,siren,43
rank_consensus,31,8583,2079,251,0.0045296903984950445,0.0005449579401461795,0.002537324169320612,1,yang_harmfulness,44
rank_consensus,31,2012,2307,113,0.00502669203990836,0.00024414115718548844,0.002635416598546924,1,yang_harmfulness,45
rank_consensus,11,4258,55,2409,0.00011771091507157477,0.005249034879488001,0.002683372897279788,1,siren,46
rank_consensus,31,3646,2367,152,0.005157481945543443,0.00032915459584829243,0.002743318270695868,1,yang_harmfulness,47
rank_consensus,31,13833,2273,297,0.0049525777600484796,0.0006452302011330766,0.002798903980590778,1,yang_harmfulness,48
rank_consensus,31,12222,2241,336,0.004882823143709769,0.0007302436397958805,0.0028065333917528246,1,yang_harmfulness,49
