variant,layer,neuron_index,entered_via,also_in,n_methods_at_N,selection_step,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score
quota,29,9571,siren,,1,59,30,6628,6.321512105695683e-05,0.014445745077394927,0.0072544800992259415
quota,31,7416,yang_harmfulness,,1,60,13290,30,0.028967784266410317,6.321512105695683e-05,0.014515499693733638
quota,30,2653,siren,,1,61,31,219726,6.539495281754155e-05,0.4789635335944772,0.23951446427364737
quota,31,9416,yang_harmfulness,,1,62,6442,31,0.014040296369926169,6.539495281754155e-05,0.007052845661371855
quota,31,12950,siren,yang_harmfulness,2,63,32,94,6.757478457812626e-05,0.00020272435373437878,0.00013514956915625253
quota,31,13076,yang_harmfulness,,1,64,4318,32,0.009410333710444228,6.757478457812626e-05,0.004738954247511177
quota,0,6677,siren,,1,65,33,354863,6.975461633871098e-05,0.7735394582246142,0.3868046064204765
quota,31,14106,yang_harmfulness,,1,66,187746,33,0.4092525138909779,6.975461633871098e-05,0.2046611342536583
quota,5,4724,siren,,1,67,34,145659,7.19344480992957e-05,0.3175099345832489,0.15879093451567408
quota,31,7873,yang_harmfulness,,1,68,14903,34,0.03248385289623347,7.19344480992957e-05,0.016277893672166383
quota,26,7711,siren,,1,69,35,192432,7.411427985988042e-05,0.41946720552107786,0.20977065990046886
quota,31,3769,yang_harmfulness,,1,70,2684,35,0.005848488613648798,7.411427985988042e-05,0.002961301446754339
quota,3,381,siren,,1,71,36,398809,7.629411162046513e-05,0.8693343447752703,0.43470531944344537
quota,31,1681,yang_harmfulness,,1,72,16051,36,0.03498629975738472,7.629411162046513e-05,0.017531296934502595
quota,0,9362,siren,,1,73,37,416179,7.847394338104985e-05,0.9071980224566268,0.4536382482000039
quota,31,4577,yang_harmfulness,,1,74,10380,37,0.02262447384310879,7.847394338104985e-05,0.01135147389324492
quota,5,9150,siren,,1,75,38,391660,8.065377514163457e-05,0.8537507275188501,0.42691569064699586
quota,31,5772,yang_harmfulness,,1,76,20971,38,0.045711072019461535,8.065377514163457e-05,0.022895862897301583
quota,26,9917,siren,,1,77,39,34937,8.283360690221929e-05,0.0761546023877877,0.03811871799734496
quota,31,11079,yang_harmfulness,,1,78,11294,39,0.024616840072283222,8.283360690221929e-05,0.012349836839592721
quota,2,6515,siren,,1,79,40,334218,8.5013438662804e-05,0.7285368315273427,0.3643109224830028
quota,31,12119,yang_harmfulness,,1,80,13463,40,0.029344895160991476,8.5013438662804e-05,0.01471495429982714
quota,0,10953,siren,,1,81,41,434173,8.719327042338872e-05,0.9464219151565882,0.4732545542135058
quota,31,2305,yang_harmfulness,,1,82,15302,41,0.03335360576870677,8.719327042338872e-05,0.016720399519565082
quota,3,1160,siren,,1,83,42,369536,8.937310218397344e-05,0.8055241296476738,0.4028067513749289
quota,31,9575,yang_harmfulness,,1,84,21548,42,0.04696883494531892,8.937310218397344e-05,0.023529104023751447
quota,5,7127,siren,,1,85,43,140654,9.155293394455816e-05,0.3065998766215223,0.15334571477773346
quota,31,3811,yang_harmfulness,,1,86,6493,43,0.01415146778971599,9.155293394455816e-05,0.007121510361830274
quota,26,11169,siren,,1,87,44,179967,9.373276570514288e-05,0.3922956026253894,0.19619466769554725
quota,31,3175,yang_harmfulness,,1,88,11312,44,0.024656077043973747,9.373276570514288e-05,0.012374904904839445
quota,0,7886,siren,,1,89,45,263364,9.59125974657276e-05,0.5740870319628731,0.28709147228016946
quota,31,2207,yang_harmfulness,siren,2,90,271,45,0.0005885545753578739,9.59125974657276e-05,0.00034223358641180074
quota,3,12499,siren,,1,91,46,432728,9.809242922631231e-05,0.9432720582625433,0.47168507534588483
quota,30,8562,yang_harmfulness,,1,92,72071,46,0.15710047498534063,9.809242922631231e-05,0.07859928370728347
quota,5,6348,siren,,1,93,47,384220,0.00010027226098689703,0.8375327792200998,0.41881652574054334
quota,30,7813,yang_harmfulness,,1,94,18915,47,0.041229337919699356,0.00010027226098689703,0.020664805090343127
quota,1,11737,siren,,1,95,48,425204,0.00010245209274748175,0.9268710040959038,0.4634867280943257
quota,31,9519,yang_harmfulness,,1,96,20072,48,0.043751403266695875,0.00010245209274748175,0.021926927679721677
quota,0,7278,siren,,1,97,49,421128,0.00010463192450806646,0.9179860098397605,0.4590453208821343
quota,31,10834,yang_harmfulness,,1,98,7080,49,0.015431029033179219,0.00010463192450806646,0.0077678304788436426
quota,8,4398,siren,,1,99,50,236422,0.00010681175626865118,0.5153580046691997,0.2577324082127342
quota,31,11929,yang_harmfulness,,1,100,406908,50,0.8869888022042459,0.00010681175626865118,0.4435478069802573
quota,26,4587,siren,,1,101,51,26548,0.0001089915880292359,0.05786799374824251,0.028988492668135874
quota,31,1572,yang_harmfulness,,1,102,18276,51,0.039836425424685726,0.0001089915880292359,0.019972708506357482
quota,13,2741,siren,,1,103,52,32462,0.00011117141978982062,0.07075951878034054,0.03543534510006518
quota,31,6657,yang_harmfulness,,1,104,5748,52,0.012527493128080375,0.00011117141978982062,0.006319332273935098
quota,14,14318,siren,,1,105,53,155639,0.00011335125155040534,0.33926465555388435,0.1696890034027174
quota,31,996,yang_harmfulness,,1,106,34235,53,0.07462436049185724,0.00011335125155040534,0.03736885587170382
quota,15,3580,siren,,1,107,54,3476,0.00011553108331099005,0.0075749153680318955,0.003845223225671443
quota,31,3197,yang_harmfulness,,1,108,24173,54,0.0526908933168538,0.00011553108331099005,0.026403212200082397
quota,11,4258,siren,,1,109,55,2409,0.00011771091507157477,0.005249034879488001,0.002683372897279788
quota,31,7851,yang_harmfulness,,1,110,25828,55,0.056298514880621514,0.00011771091507157477,0.028208112897846544
quota,10,1084,siren,,1,111,57,928,0.00012207057859274422,0.0020207040420620334,0.0010713873103273888
quota,31,11488,yang_harmfulness,,1,112,1950,56,0.004248492101379615,0.00011989074683215949,0.0021841914241058874
quota,21,13995,siren,,1,113,58,191449,0.00012425041035332894,0.4173244309004231,0.20872434065538822
quota,31,5553,yang_harmfulness,,1,114,18133,57,0.03952470948292211,0.00012207057859274422,0.019823390030757428
quota,16,6901,siren,,1,115,59,106243,0.00012643024211391366,0.2315896859080416,0.11585805807507776
quota,31,3828,yang_harmfulness,,1,116,14766,58,0.03218521594503336,0.00012425041035332894,0.016154733177693344
quota,12,9336,siren,,1,117,60,17256,0.00012861007387449837,0.03761299702888931,0.018870803551381904
quota,31,10674,yang_harmfulness,,1,118,28164,59,0.06139060187334742,0.00012643024211391366,0.030758516057730667
quota,9,12473,siren,,1,119,61,217629,0.0001307899056350831,0.47439242639253104,0.23726160814908306
quota,31,14027,yang_harmfulness,,1,120,921,60,0.0020054452197379407,0.00012861007387449837,0.0010670276468062196
quota,17,13532,siren,,1,121,62,40156,0.0001329697373956678,0.08753114434627936,0.04383205704183751
quota,31,11808,yang_harmfulness,,1,122,9000,61,0.019616306013501877,0.0001307899056350831,0.00987354795956848
quota,19,8298,siren,,1,123,63,14709,0.00013514956915625253,0.03206096553468003,0.016098057551918142
quota,31,4436,yang_harmfulness,,1,124,25541,62,0.0556729031653337,0.0001329697373956678,0.027902936451364685
quota,18,1454,siren,,1,125,64,19351,0.00013732940091683724,0.0421797445673143,0.02115853698411557
quota,30,7146,yang_harmfulness,,1,126,1861,63,0.004054487074687575,0.00013514956915625253,0.002094818321921914
quota,25,2732,siren,,1,127,65,191584,0.00013950923267742196,0.41761870818810204,0.20887910871038973
quota,31,714,yang_harmfulness,,1,128,3955,64,0.008619054781351975,0.00013732940091683724,0.004378192091134406
quota,2,13496,siren,,1,129,66,406591,0.00014168906443800668,0.8862977955361405,0.44321974230028927
quota,31,9663,yang_harmfulness,,1,130,332864,65,0.725585339323511,0.00013950923267742196,0.36286242427809423
quota,0,4252,siren,,1,131,67,366179,0.0001438688961985914,0.7982064344273909,0.39917515166179474
quota,31,4661,yang_harmfulness,,1,132,6112,66,0.013320951888933213,0.00014168906443800668,0.00673132047668561
quota,5,11443,siren,,1,133,68,32403,0.00014604872795917612,0.07063090870646603,0.0353884787172126
quota,31,14073,yang_harmfulness,,1,134,17901,67,0.03901898851446645,0.0001438688961985914,0.019581428705332523
quota,27,1253,siren,,1,135,69,5402,0.00014822855971976083,0.011773271338918062,0.005960749949318911
quota,30,1130,yang_harmfulness,,1,136,1818,68,0.003960754308982433,0.00014604872795917612,0.0020534015184708043
quota,3,7756,siren,,1,137,70,354029,0.00015040839148034555,0.7717214785362866,0.3859359434638835
quota,31,4128,yang_harmfulness,,1,138,284650,69,0.6204869308186794,0.00014822855971976083,0.3103175796891996
quota,24,1619,siren,,1,139,71,155027,0.00015258822324093027,0.3379305985164065,0.16904159336982372
quota,31,7973,yang_harmfulness,,1,140,21594,70,0.04706910720630582,0.00015040839148034555,0.023609757798893082
quota,23,2803,siren,,1,141,72,84124,0.00015476805500151499,0.18337398719566825,0.09176437762533488
quota,31,13869,yang_harmfulness,,1,142,12416,71,0.027062611307659273,0.00015258822324093027,0.013607599765450102
quota,22,5031,siren,,1,143,73,5556,0.0001569478867620997,0.01210896543004811,0.006132956658405105
quota,31,11342,yang_harmfulness,,1,144,30216,72,0.06586361664606726,0.00015476805500151499,0.033009192350534386
quota,28,6269,siren,,1,145,74,70830,0.00015912771852268442,0.154395303770455,0.07727721574448884
quota,31,2477,yang_harmfulness,,1,146,26112,73,0.056917587100627574,0.0001569478867620997,0.028537267493694837
quota,29,11082,siren,,1,147,75,13931,0.00016130755028326914,0.030365056424945122,0.015263181987614196
quota,30,12446,yang_harmfulness,,1,148,4642,74,0.010116599200873676,0.00015912771852268442,0.00513786345969818
quota,26,2128,siren,,1,149,76,13763,0.00016348738204385386,0.02999884468916689,0.015081166035605373
quota,31,5253,yang_harmfulness,,1,150,9689,75,0.02111821009654475,0.00016130755028326914,0.01063975882341401
quota,20,9424,siren,,1,151,77,123449,0.00016566721380443857,0.26909587118066225,0.13463076919723335
quota,31,5615,yang_harmfulness,,1,152,18157,76,0.03957702544517614,0.00016348738204385386,0.019870256413609996
quota,30,6897,siren,,1,153,78,1809,0.0001678470455650233,0.0039411358231371705,0.002054491434351097
quota,31,12525,yang_harmfulness,,1,154,3292,77,0.0071738263240843075,0.00016566721380443857,0.0036697467689443732
quota,7,11986,siren,,1,155,79,222993,0.000170026877325608,0.48608504395630747,0.24312753541681653
quota,31,12358,yang_harmfulness,,1,156,6239,78,0.013597790522527471,0.0001678470455650233,0.006882818784046247
quota,0,3400,siren,,1,157,80,434207,0.00017220670908619273,0.9464960294364481,0.47333411807276715
quota,31,12814,yang_harmfulness,,1,158,8198,79,0.017868080941512935,0.000170026877325608,0.009019053909419272
quota,6,1372,siren,,1,159,81,113028,0.00017438654084677745,0.24637984440360894,0.12327711547222786
quota,31,6467,yang_harmfulness,,1,160,12556,80,0.027367787754141136,0.00017220670908619273,0.013769997231613665
quota,5,430,siren,,1,161,82,191370,0.00017656637260736216,0.4171522241913369,0.20866439528197214
quota,31,5118,yang_harmfulness,,1,162,149283,81,0.3254096448836079,0.00017438654084677745,0.16279201571222734
quota,3,3980,siren,,1,163,83,164643,0.00017874620436794688,0.35889186072618917,0.17953530346527857
quota,31,4064,yang_harmfulness,,1,164,20220,82,0.044074018367262414,0.00017656637260736216,0.02212529236993489
quota,26,7496,siren,,1,165,84,111534,0.0001809260361285316,0.24312317575329537,0.12165205089471195
quota,31,8359,yang_harmfulness,,1,166,6646,83,0.014484982049085451,0.00017874620436794688,0.007331864126726699
quota,0,11690,siren,,1,167,85,348635,0.00018310586788911632,0.7599634660196926,0.38007328594379086
quota,31,11985,yang_harmfulness,,1,168,285891,84,0.623192102033565,0.0001809260361285316,0.31168651403484676
quota,5,9582,siren,,1,169,86,118191,0.00018528569964970103,0.2576343157835078,0.12890980074157876
quota,31,5041,yang_harmfulness,,1,170,21270,85,0.04636284171587637,0.00018310586788911632,0.023272973791882742
quota,2,10014,siren,,1,171,87,185964,0.00018746553141028575,0.40536805369361595,0.20277775961251313
quota,31,8350,yang_harmfulness,,1,172,5377,86,0.011718775544903444,0.00018528569964970103,0.005952030622276573
quota,0,14042,siren,,1,173,88,369241,0.00018964536317087047,0.8048810792783013,0.4025353623207361
quota,31,8193,yang_harmfulness,,1,174,27914,87,0.060845643933201236,0.00018746553141028575,0.030516554732305762
quota,3,6790,siren,,1,175,89,198858,0.0001918251949314552,0.4334748044145953,0.21683331480476337
quota,30,8539,yang_harmfulness,,1,176,20235,88,0.044106715843671186,0.00018964536317087047,0.02214818060342103
quota,26,5286,siren,,1,177,90,21762,0.0001940050266920399,0.04743531894208405,0.023814661984388044
quota,31,963,yang_harmfulness,,1,178,59321,89,0.12930762003788548,0.0001918251949314552,0.06474972261640848
quota,5,6882,siren,,1,179,91,78296,0.00019618485845262462,0.1706699276949805,0.08543305627671656
quota,31,1395,yang_harmfulness,,1,180,11335,90,0.024706213174467195,0.0001940050266920399,0.012450109100579618
quota,1,14272,siren,,1,181,92,362335,0.00019836469021320934,0.7898271611397032,0.3950127629149582
quota,31,4352,yang_harmfulness,,1,182,61891,91,0.1349097876625882,0.00019618485845262462,0.06755298626052042
quota,0,3974,siren,,1,183,93,400298,0.00020054452197379406,0.8725801142667808,0.43639032939437733
quota,31,2945,yang_harmfulness,,1,184,128533,92,0.280178135851475,0.00019836469021320934,0.1401882502708441
quota,4,2975,siren,,1,185,94,388857,0.00020272435373437878,0.8476406590939312,0.42392169172383276
quota,30,12185,yang_harmfulness,,1,186,1639,93,0.0035705644238377683,0.00020054452197379406,0.0018855544729057812
quota,26,2776,siren,,1,187,95,2035,0.0002049041854949635,0.0044337778010293165,0.00231934099326214
quota,31,10973,yang_harmfulness,,1,188,2497,95,0.005440860074419456,0.0002049041854949635,0.00282288212995721
quota,8,8632,siren,,1,189,96,307598,0.0002070840172555482,0.6705097100605776,0.33535839703891657
quota,31,260,yang_harmfulness,,1,190,4975,96,0.010842483177148388,0.0002070840172555482,0.005524783597201968
quota,3,7005,siren,,1,191,97,324192,0.00020926384901613293,0.7066818382957203,0.3534455510723682
quota,31,5144,yang_harmfulness,,1,192,8905,97,0.01940922199624633,0.00020926384901613293,0.009809242922631231
quota,13,13879,siren,,1,193,98,7815,0.00021144368077671765,0.017033205377208985,0.008622324528992852
quota,31,4160,yang_harmfulness,,1,194,16514,98,0.03599556186253545,0.00021144368077671765,0.018103502771656083
quota,5,11491,siren,,1,195,99,203102,0.00021362351253730236,0.4427260104065168,0.22146981695952705
quota,31,3616,yang_harmfulness,,1,196,6874,99,0.014981983690498767,0.00021362351253730236,0.007597803601518034
quota,14,1559,siren,,1,197,100,3361,0.00021580334429788708,0.0073242347155646524,0.0037700190299312696
quota,31,11541,yang_harmfulness,,1,198,12068,100,0.026304029854975795,0.00021580334429788708,0.01325991659963684
quota,31,5542,siren,,1,199,101,2221,0.0002179831760584718,0.004839226508498074,0.002528604842278273
quota,31,13933,yang_harmfulness,,1,200,24987,101,0.05446527636996976,0.0002179831760584718,0.027341629773014117
quota,15,1832,siren,,1,201,102,348311,0.00022016300781905652,0.7592572005292632,0.3797386817685411
quota,31,11695,yang_harmfulness,,1,202,2964,102,0.00645884150661252,0.00022016300781905652,0.0033395022572157884
quota,11,5737,siren,,1,203,103,50150,0.00022234283957964124,0.10931638296156303,0.054769362900571335
quota,31,3548,yang_harmfulness,,1,204,16146,103,0.03519338377464027,0.00022234283957964124,0.017707863307109956
quota,0,12242,siren,,1,205,104,363094,0.00022452267134022595,0.7914816534459871,0.39585308805866365
quota,31,2958,yang_harmfulness,,1,206,15899,104,0.03465496532977585,0.00022452267134022595,0.017439744000558036
quota,21,1297,siren,,1,207,105,70784,0.00022670250310081067,0.1542950315094681,0.07726086700628446
quota,31,4609,yang_harmfulness,,1,208,17996,105,0.039226072531722,0.00022670250310081067,0.019726387517411407
quota,16,11992,siren,,1,209,106,4916,0.0002288823348613954,0.01071387310327389,0.005471377719067643
quota,31,3568,yang_harmfulness,,1,210,17320,106,0.03775250626156673,0.0002288823348613954,0.018990694298214063
quota,10,1918,siren,,1,211,107,250249,0.0002310621666219801,0.5454985384228045,0.2728648002947132
quota,31,11314,yang_harmfulness,,1,212,14261,107,0.03108440090593808,0.0002310621666219801,0.01565773153628003
quota,25,4953,siren,,1,213,108,307089,0.00023324199838256482,0.6694001756944399,0.33481670884641124
quota,31,3464,yang_harmfulness,,1,214,29496,108,0.06429413777844625,0.00023324199838256482,0.03226368988841441
quota,9,6064,siren,,1,215,109,322848,0.00023542183014314954,0.7037521444094945,0.3519937831198188
quota,31,11350,yang_harmfulness,,1,216,29068,109,0.063361169784916,0.00023542183014314954,0.031798295807529575
quota,12,4498,siren,,1,217,110,177917,0.00023760166190373426,0.3878269475161907,0.1940322745890472
quota,31,9587,yang_harmfulness,,1,218,5824,110,0.012693160341884814,0.00023760166190373426,0.006465381001894274
quota,17,11378,siren,,1,219,111,284728,0.00023978149366431898,0.620656957696005,0.3104483695948347
quota,31,4046,yang_harmfulness,,1,220,8223,111,0.01792257673552755,0.00023978149366431898,0.009081179114595935
quota,26,14003,siren,,1,221,112,15442,0.0002419613254249037,0.03365878221518863,0.016950371770306765
quota,31,13801,yang_harmfulness,,1,222,5354,112,0.011668639414409996,0.0002419613254249037,0.005955300369917449
quota,2,10582,siren,,1,223,113,80068,0.00024414115718548844,0.17453258957473664,0.08738836536596106
quota,31,2012,yang_harmfulness,,1,224,2307,113,0.00502669203990836,0.00024414115718548844,0.002635416598546924
quota,19,11694,siren,,1,225,114,109830,0.00024632098894607316,0.239408742433259,0.11982753171110254
quota,31,5933,yang_harmfulness,,1,226,23486,114,0.051193348897332104,0.00024632098894607316,0.025719834943139088
quota,5,9391,siren,,1,227,115,127481,0.0002485008207066579,0.27788495283933984,0.13906672683002325
quota,31,9187,yang_harmfulness,,1,228,18513,115,0.0403530455519443,0.0002485008207066579,0.02030077318632548
quota,18,11018,siren,,1,229,116,185008,0.0002506806524672426,0.40328413453049694,0.2017674075914821
quota,30,5024,yang_harmfulness,,1,230,139276,116,0.30359606845543663,0.0002506806524672426,0.15192337455395194
quota,3,3833,siren,,1,231,117,204545,0.0002528604842278273,0.4458715076370406,0.22306218406063422
quota,30,1171,yang_harmfulness,,1,232,5049,117,0.011003790727431656,0.0002528604842278273,0.005628325605829741
quota,0,6344,siren,,1,233,118,394128,0.00025504031598841203,0.8591305523039732,0.4296927963099808
quota,31,4622,yang_harmfulness,,1,234,68870,118,0.15012283351970895,0.00025504031598841203,0.07518893691784868
quota,27,3878,siren,,1,235,119,297016,0.00025722014774899675,0.64744273037007,0.3238499752589095
quota,31,1813,yang_harmfulness,,1,236,43344,119,0.09448044799902343,0.00025722014774899675,0.04736883407338621
quota,23,8249,siren,,1,237,120,24305,0.00025939997950958146,0.05297863110925099,0.026619015544380283
quota,31,12923,yang_harmfulness,,1,238,193219,120,0.42118273311665805,0.00025939997950958146,0.2107210665480838
quota,24,9483,siren,,1,239,121,248312,0.0002615798112701662,0.541276204302552,0.27076889205691107
quota,31,374,yang_harmfulness,,1,240,19361,121,0.04220154288492014,0.0002615798112701662,0.021231561348095153
quota,28,545,siren,,1,241,122,250668,0.0002637596430307509,0.5464118879304896,0.27333782378676014
quota,31,13030,yang_harmfulness,,1,242,79015,122,0.1722372267308409,0.0002637596430307509,0.08625049318693583
quota,22,8514,siren,,1,243,123,808,0.0002659394747913356,0.0017591242307918675,0.0010125318527916015
quota,31,2266,yang_harmfulness,,1,244,8662,123,0.018879522878424242,0.0002659394747913356,0.009572731176607788
quota,29,9301,siren,,1,245,124,31060,0.00026811930655192034,0.06770339465200076,0.03398575697927634
quota,31,11638,yang_harmfulness,,1,246,3497,124,0.007620691835004174,0.00026811930655192034,0.003944405570778047
quota,26,4999,siren,,1,247,125,126130,0.00027029913831250505,0.2749400001307899,0.1376051496345512
quota,31,5814,yang_harmfulness,,1,248,26371,125,0.057482163526619015,0.00027029913831250505,0.02887623133246576
quota,0,258,siren,,1,249,126,404573,0.00027247897007308977,0.8818988950432806,0.44108568700667683
quota,31,8053,yang_harmfulness,,1,250,3176,126,0.00692096583985648,0.00027247897007308977,0.003596722404964785
quota,5,51,siren,,1,251,127,214639,0.0002746588018336745,0.4678747294283827,0.2340746941151082
quota,31,12839,yang_harmfulness,,1,252,34829,127,0.07591918055764456,0.0002746588018336745,0.03809691967973912
quota,20,11031,siren,,1,253,128,319261,0.0002768386335942592,0.6959330878842771,0.3481049632589357
quota,31,2241,yang_harmfulness,,1,254,24735,128,0.05391595876630242,0.0002768386335942592,0.02709639869994834
quota,3,5660,siren,,1,255,129,187488,0.0002790184653548439,0.40869011729674704,0.20448456788105093
quota,31,14211,yang_harmfulness,,1,256,15755,129,0.03434106955625165,0.0002790184653548439,0.017310044010803247
quota,30,6156,siren,yang_harmfulness,2,257,130,447,0.00028119829711542864,0.0009722049652207842,0.0006267016311681064
quota,31,3759,yang_harmfulness,,1,258,11273,130,0.02457106360531094,0.00028119829711542864,0.012426130951213185
quota,0,10621,siren,,1,259,131,452282,0.00028337812887601336,0.9858964885090169,0.49308993331894646
quota,29,254,yang_harmfulness,,1,260,663,131,0.0014430486255070834,0.00028337812887601336,0.0008632133771915483
quota,7,2899,siren,,1,261,132,165860,0.0002855579606365981,0.36154471597882076,0.1809151369697287
quota,30,1777,yang_harmfulness,,1,262,18127,132,0.0395116304923586,0.0002855579606365981,0.019898594226497597
